title,age_limit,rating,rating_count,genre,director,actor
세자매,15세 관람가,8.67,"1,894",드라마,이승원,"문소리, 김선영, 장윤주"
라라랜드,12세 관람가,8.62,"24,856","드라마, 뮤지컬, 멜로/로맨스",데이미언 셔젤,"라이언 고슬링, 엠마 스톤"
화양연화,15세 관람가,8.81,"2,164","드라마, 멜로/로맨스",왕가위,"장만옥, 양조위"
뮤지컬 브로드웨이 42번가,전체 관람가,8.20,5,"뮤지컬, 공연실황","마크 브램블, 로스 맥기븐","보니 랭포드, 자스나 이브, 애슐리 데이, 톰 리스터, 클레어 할세"
레미제라블: 뮤지컬 콘서트,12세 관람가,9.41,91,공연실황,"제임스 파우웰, 장 피에르","알피 보, 캐리 호프 플레처, 마이클 볼, 릴리 케르호아스, 케이티 세콤브, 맷 루카스, 롭 허우첸, 샨 아코, 브래들리 제이든"
언어의 정원,12세 관람가,8.17,"2,521",애니메이션,신카이 마코토,"이리노 미유, 하나자와 카나"
녹색 광선,12세 관람가,8.49,156,"멜로/로맨스, 드라마",에릭 로메르,마리 리비에르
아사코,12세 관람가,7.29,633,드라마,하마구치 류스케,"히가시데 마사히로, 카라타 에리카"
더 스퀘어,15세 관람가,7.69,264,블랙코미디,루벤 외스틀룬드,클라에스 방
아비정전,15세 관람가,8.45,877,"드라마, 범죄, 멜로/로맨스",왕가위,"장국영, 장만옥, 유덕화"
걸어도 걸어도,전체 관람가,8.63,731,"가족, 드라마",고레에다 히로카즈,"키키 키린, 아베 히로시, 나츠카와 유이, 하라다 요시오"
바닷마을 다이어리,12세 관람가,8.75,"2,375","드라마, 가족",고레에다 히로카즈,"아야세 하루카, 나가사와 마사미, 카호, 히로세 스즈"
잡식가족의 딜레마,전체 관람가,8.94,172,다큐멘터리,황윤,황윤
빅 아이즈,12세 관람가,8.29,872,드라마,팀 버튼,"에이미 아담스, 크리스토프 왈츠"
아메리칸 셰프,15세 관람가,8.79,"2,599",코미디,존 파브로,"존 파브로, 엠제이 안소니, 소피아 베르가라, 스칼렛 요한슨, 더스틴 호프만, 로버트 다우니 주니어"
심도,청소년 관람불가,3.00,2,드라마,하마구치 류스케,"김민준, 이시다 호시, 박소희, 최다연"
더 차일드,12세 관람가,8.25,144,"범죄, 드라마, 멜로/로맨스","장 피에르 다르덴, 뤽 다르덴","제레미 레니에, 데보라 프랑소와"
여름 이야기,12세 관람가,8.06,48,"코미디, 멜로/로맨스",에릭 로메르,"멜빌 푸포, 아만다 랑글렛"
로맨스 빠빠,15세 관람가,8.52,29,"가족, 멜로/로맨스",신상옥,"최은희, 김진규, 강신성일, 김승호, 주증녀"
OK 목장의 결투,12세 관람가,8.68,44,"서부, 액션, 스릴러",존 스터지스,"버트 랭커스터, 커크 더글러스"
젊은이의 양지,15세 관람가,8.81,16,"드라마, 느와르, 멜로/로맨스",조지 스티븐스,"몽고메리 클리프트, 엘리자베스 테일러, 쉘리 윈터스"
가스등 ,15세 관람가,8.56,61,"스릴러, 드라마",조지 큐커,"샤를르 보와이에, 잉그리드 버그만, 조셉 거튼"
